player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name,image_url,url,current_club_domestic_competition_id,current_club_name
598,Timo,Hildebrand,Timo Hildebrand,2014,24,timo-hildebrand,Germany,Worms,Germany,1979-04-05,Goalkeeper,Goalkeeper,,,,10000000.0,,,https://img.a.transfermarkt.technology/portrait/header/598-1540373444.jpg?lm=1,https://www.transfermarkt.co.uk/timo-hildebrand/profil/spieler/598,L1,Eintracht Frankfurt
670,Martin,Petrov,Martin Petrov,2012,714,martin-petrov,Bulgaria,Vratsa,Bulgaria,1979-01-15,Left Winger,Attack,,,,12000000.0,,IFM,https://img.a.transfermarkt.technology/portrait/header/670-1656218742.png?lm=1,https://www.transfermarkt.co.uk/martin-petrov/profil/spieler/670,ES1,RCD Espanyol Barcelona
1323,Martin,Amedick,Martin Amedick,2012,24,martin-amedick,Germany,Paderborn,Germany,1982-09-06,Centre-Back,Defender,,,,2750000.0,,,https://img.a.transfermarkt.technology/portrait/header/1323-1544181603.jpg?lm=1,https://www.transfermarkt.co.uk/martin-amedick/profil/spieler/1323,L1,Eintracht Frankfurt
3195,Jermaine,Pennant,Jermaine Pennant,2013,512,jermaine-pennant,England,Nottingham,England,1983-01-15,Right Winger,Attack,right,173.0,,10500000.0,,Andrew Sky,https://img.a.transfermarkt.technology/portrait/header/s_3195_512_2013_03_08_1.jpg?lm=1,https://www.transfermarkt.co.uk/jermaine-pennant/profil/spieler/3195,GB1,Stoke City
3259,Damien,Duff,Damien Duff,2013,931,damien-duff,Ireland,Ballyboden,Ireland,1979-03-02,Right Midfield,Midfield,left,177.0,,17000000.0,,,https://img.a.transfermarkt.technology/portrait/header/3259-1410962728.jpg?lm=1,https://www.transfermarkt.co.uk/damien-duff/profil/spieler/3259,GB1,Fulham FC
3614,Tony,Hibbert,Tony Hibbert,2015,29,tony-hibbert,England,Liverpool,England,1981-02-20,Right-Back,Defender,right,173.0,,4500000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_3614_29_2009_1.jpg?lm=1,https://www.transfermarkt.co.uk/tony-hibbert/profil/spieler/3614,GB1,Everton FC
3804,Carlo,Nash,Carlo Nash,2013,1123,carlo-nash,England,Bolton,England,1973-09-13,Goalkeeper,Goalkeeper,right,197.0,,800000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_3804_512_2013_03_08_1.jpg?lm=1,https://www.transfermarkt.co.uk/carlo-nash/profil/spieler/3804,GB1,Norwich City
4042,Brad,Jones,Brad Jones,2017,234,brad-jones,Australia,Armadale,Australia,1982-03-19,Goalkeeper,Goalkeeper,left,194.0,100000.0,2000000.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/s_4042_31_2012_1.jpg?lm=1,https://www.transfermarkt.co.uk/brad-jones/profil/spieler/4042,NL1,Feyenoord Rotterdam
4112,Rory,Delap,Rory Delap,2012,512,rory-delap,England,Sutton Coldfield,Ireland,1976-07-06,Central Midfield,Midfield,right,183.0,,5500000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_4112_512_2009_1.jpg?lm=1,https://www.transfermarkt.co.uk/rory-delap/profil/spieler/4112,GB1,Stoke City
4133,Richie,Ryan,Richie Ryan,2012,1519,richie-ryan,Ireland,Tipperary,Ireland,1985-01-06,Defensive Midfield,Midfield,both,178.0,,350000.0,,,https://img.a.transfermarkt.technology/portrait/header/4133-1648288446.jpg?lm=1,https://www.transfermarkt.co.uk/richie-ryan/profil/spieler/4133,SC1,Dundee United FC
4219,David,Fox,David Fox,2013,1123,david-fox,England,Leek,England,1983-12-13,Central Midfield,Midfield,right,175.0,,2000000.0,,Full Contact,https://img.a.transfermarkt.technology/portrait/header/s_4219_1123_2013_03_06_1.jpg?lm=1,https://www.transfermarkt.co.uk/david-fox/profil/spieler/4219,GB1,Norwich City
4360,Arjen,Robben,Arjen Robben,2020,202,arjen-robben,Netherlands,Bedum,Netherlands,1984-01-23,Right Winger,Attack,left,180.0,,40000000.0,,,https://img.a.transfermarkt.technology/portrait/header/4360-1540568808.jpg?lm=1,https://www.transfermarkt.co.uk/arjen-robben/profil/spieler/4360,NL1,FC Groningen
4487,Khalid,Sinouh,Khalid Sinouh,2012,467,khalid-sinouh,Netherlands,Amsterdam,Morocco,1975-05-02,Goalkeeper,Goalkeeper,,,,1200000.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/khalid-sinouh/profil/spieler/4487,NL1,NEC Nijmegen
4740,Daniel,Van Buyten,Daniel Van Buyten,2013,27,daniel-van-buyten,Belgium,Chimay,Belgium,1978-02-07,Centre-Back,Defender,right,197.0,,15000000.0,,,https://img.a.transfermarkt.technology/portrait/header/4740-1597936325.jpg?lm=1,https://www.transfermarkt.co.uk/daniel-van-buyten/profil/spieler/4740,L1,Bayern Munich
4750,Kenny,Miller,Kenny Miller,2018,1241,kenny-miller,Scotland,Edinburgh,Scotland,1979-12-23,Centre-Forward,Attack,right,178.0,,7000000.0,,Avid Sports Group,https://img.a.transfermarkt.technology/portrait/header/4750-1601202749.jpg?lm=1,https://www.transfermarkt.co.uk/kenny-miller/profil/spieler/4750,SC1,Livingston FC
4796,Kader,Mangane,Kader Mangane,2017,667,kader-mangane,Senegal,Thiès,Senegal,1983-03-23,Centre-Back,Defender,right,193.0,,7000000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_4796_289_2013_03_08_1.jpg?lm=1,https://www.transfermarkt.co.uk/kader-mangane/profil/spieler/4796,FR1,RC Strasbourg Alsace
4873,Armand,Deumi,Armand Deumi,2012,1506,armand-deumi,Cameroon,Douala,Cameroon,1979-03-12,Centre-Back,Defender,right,180.0,,2000000.0,,Hikmet Dagci,https://img.a.transfermarkt.technology/portrait/header/s_4873_1506_2010_1.jpg?lm=1,https://www.transfermarkt.co.uk/armand-deumi/profil/spieler/4873,TR1,Kardemir Karabükspor
5399,Kamel,Chafni,Kamel Chafni,2012,3911,kamel-chafni,France,Bordeaux,Morocco,1982-06-11,Attacking Midfield,Midfield,right,181.0,,3300000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_5399_3911_2012_1.jpg?lm=1,https://www.transfermarkt.co.uk/kamel-chafni/profil/spieler/5399,FR1,Stade Brestois 29
5672,Étienne,Didot,Étienne Didot,2018,855,etienne-didot,France,Paimpol,France,1983-07-24,Central Midfield,Midfield,right,175.0,,7000000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_5672_415_2012_2.jpg?lm=1,https://www.transfermarkt.co.uk/etienne-didot/profil/spieler/5672,FR1,EA Guingamp
5712,Bertrand,Robert,Bertrand Robert,2012,1091,bertrand-robert,Réunion,Saint-Benoît,Réunion,1983-11-16,Left-Back,Defender,left,174.0,,800000.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/bertrand-robert/profil/spieler/5712,GR1,PAOK Thessaloniki
5768,Rubén,Olivera,Rubén Olivera,2013,430,ruben-olivera,Uruguay,Montevideo,Uruguay,1983-05-04,Central Midfield,Midfield,right,184.0,,8000000.0,,,https://img.a.transfermarkt.technology/portrait/header/5768-1451058178.png?lm=1,https://www.transfermarkt.co.uk/ruben-olivera/profil/spieler/5768,IT1,ACF Fiorentina
5870,Massimo,Donati,Massimo Donati,2017,2999,massimo-donati,Italy,San Vito al Tagliamento,Italy,1981-03-26,Defensive Midfield,Midfield,right,189.0,,6000000.0,,,https://img.a.transfermarkt.technology/portrait/header/5870-1442932953.jpg?lm=1,https://www.transfermarkt.co.uk/massimo-donati/profil/spieler/5870,SC1,Hamilton Academical FC
5925,Nicola,Legrottaglie,Nicola Legrottaglie,2013,1627,nicola-legrottaglie,Italy,Gioia del Colle,Italy,1976-10-20,Centre-Back,Defender,right,189.0,,6500000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_5925_1627_2013_09_20_1.jpg?lm=1,https://www.transfermarkt.co.uk/nicola-legrottaglie/profil/spieler/5925,IT1,Catania FC
