player_id,last_season,datetime,date,dateweek,market_value_in_eur,n,current_club_id,player_club_domestic_competition_id
3132,2013,2003-12-09 00:00:00,2003-12-09,2003-12-08,400000,1,126,TR1
6893,2012,2003-12-15 00:00:00,2003-12-15,2003-12-15,900000,1,984,GB1
10,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,7000000,1,398,IT1
26,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,1500000,1,16,L1
65,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,8000000,1,1091,GR1
77,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,13000000,1,506,IT1
80,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,400000,1,27,L1
109,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,9500000,1,825,TR1
123,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,9500000,1,33,L1
132,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,13000000,1,11,GB1
162,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,1250000,1,79,L1
215,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,7500000,1,1084,ES1
264,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,250000,1,79,L1
276,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,250000,1,20100,DK1
277,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1250000,1,3368,ES1
299,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,9000000,1,10484,TR1
325,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,8000000,1,141,TR1
332,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,250000,1,24,L1
410,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,5000000,1,16,L1
411,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,2000000,1,44,L1
447,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,700000,1,24,L1
488,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,1000000,1,2288,GB1
532,2019,2004-10-04 00:00:00,2004-10-04,2004-10-04,9500000,1,86,L1
557,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,3000000,1,167,L1
568,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,2000000,1,18,L1
597,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,7500000,1,2696,RU1
598,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,7500000,1,24,L1
643,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,86,L1
670,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,4000000,1,714,ES1
690,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,6000000,1,39,L1
691,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,300000,1,15,L1
735,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1250000,1,1210,IT1
755,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1750000,1,589,TR1
773,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,3500000,1,14171,FR1
823,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,3500000,1,4,L1
831,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,350000,1,1506,TR1
837,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,2500000,1,18,L1
886,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,250000,1,38,L1
892,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,39,L1
933,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,2293,TR1
992,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,450000,1,38,L1
1073,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1200000,1,16,L1
1075,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,3000000,1,121,RU1
1083,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1500000,1,128,GR1
1094,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1800000,1,4,L1
1095,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,2000000,1,44,L1
1116,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,700000,1,65,L1
1122,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,350000,1,41,L1
1126,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,3,L1
1139,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,39,L1
1144,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,250000,1,18,L1
1150,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1000000,1,4,L1
1161,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,11000000,1,46,IT1
1197,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,250000,1,678,DK1
1257,2019,2004-10-04 00:00:00,2004-10-04,2004-10-04,350000,1,127,L1
1277,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,750000,1,86,L1
1321,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1500000,1,33,L1
1323,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,150000,1,24,L1
1327,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,4000000,1,1159,FR1
1331,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,8000000,1,533,L1
1335,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1000000,1,42,L1
1363,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,100000,1,33,L1
1368,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,1519,SC1
1381,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1800000,1,44,L1
1397,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,30000000,1,512,GB1
1423,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,1000000,1,855,FR1
1426,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1500000,1,79,L1
1428,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,900000,1,60,L1
1443,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,5000000,1,190,DK1
1474,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,3500000,1,533,L1
1496,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,120000,1,24,L1
1532,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,8000000,1,28643,BE1
1560,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,225000,1,306,NL1
1565,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,850000,1,24,L1
1568,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,400000,1,38,L1
1572,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1000000,1,162,FR1
1573,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,4500000,1,29,GB1
1586,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,800000,1,42,L1
1587,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,1000000,1,42,L1
1606,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,150000,1,2414,DK1
1613,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,200000,1,855,FR1
1659,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,23,L1
1662,2018,2004-10-04 00:00:00,2004-10-04,2004-10-04,1000000,1,33,L1
1667,2019,2004-10-04 00:00:00,2004-10-04,2004-10-04,200000,1,162,FR1
1684,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,200000,1,65,L1
1716,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,1500000,1,6996,UKR1
1725,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,173,DK1
1726,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,400000,1,610,NL1
1743,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,50000,1,105,L1
1772,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,38,L1
1784,2018,2004-10-04 00:00:00,2004-10-04,2004-10-04,200000,1,39,L1
1791,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,1000000,1,167,L1
1792,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,2500000,1,105,L1
1841,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,250000,1,10484,TR1
1896,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,50000,1,19771,TR1
1944,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,250000,1,23,L1
1986,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,1500000,1,167,L1
2048,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,50000,1,403,NL1
2050,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,2000000,1,24,L1
2138,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,50000,1,40426,RU1
2148,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,200000,1,2944,TR1
2150,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,300000,1,16,L1
2201,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,50000,1,127,L1
2219,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,4500000,1,27,L1
2233,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,3368,ES1
2306,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,50000,1,42,L1
2309,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,121,RU1
2334,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,75000,1,44,L1
2358,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,200000,1,82,L1
2374,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,700000,1,16,L1
2386,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,50000,1,23,L1
2421,2019,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,38,L1
2453,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,150000,1,127,L1
2514,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,3250000,1,985,GB1
2583,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,300000,1,2760,SC1
2587,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,524,TR1
2623,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,800000,1,167,L1
2703,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,1000000,1,173,DK1
2712,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,1000000,1,38,L1
2726,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,75000,1,2990,PO1
2767,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,850000,1,24,L1
2805,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,42,L1
2857,2022,2004-10-04 00:00:00,2004-10-04,2004-10-04,100000,1,29,GB1
2865,2019,2004-10-04 00:00:00,2004-10-04,2004-10-04,1250000,1,167,L1
2874,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,2750000,1,265,GR1
2878,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,200000,1,750,FR1
2899,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,2000000,1,2292,TR1
2904,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,13000000,1,276,IT1
2923,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,3000000,1,3368,ES1
2926,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,500000,1,105,L1
2950,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,150000,1,42,L1
2953,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,1000000,1,41,L1
2956,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,2000000,1,68608,PO1
2963,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,5000000,1,714,ES1
2998,2017,2004-10-04 00:00:00,2004-10-04,2004-10-04,2250000,1,1003,GB1
2999,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,750000,1,2578,SC1
3059,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,750000,1,524,TR1
3098,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,7250000,1,190,DK1
3109,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,17000000,1,31,GB1
3114,2014,2004-10-04 00:00:00,2004-10-04,2004-10-04,550000,1,42,L1
3115,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,2500000,1,40,FR1
3118,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,16000000,1,1039,GB1
3120,2015,2004-10-04 00:00:00,2004-10-04,2004-10-04,5750000,1,281,GB1
3130,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,5500000,1,289,GB1
3131,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,7500000,1,873,GB1
3132,2013,2004-10-04 00:00:00,2004-10-04,2004-10-04,2000000,1,126,TR1
3139,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,40000000,1,583,FR1
3146,2016,2004-10-04 00:00:00,2004-10-04,2004-10-04,6000000,1,512,GB1
3151,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,4000000,1,148,GB1
3156,2012,2004-10-04 00:00:00,2004-10-04,2004-10-04,7000000,1,148,GB1
